_step,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/simulation__codeio/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/codegen__mbpp/mbpp,val/test_score/table__multihier/unknown,val/test_score/math__math/unknown,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/table__hitab/unknown,val/test_score/logic__zebra_puzzle_dataset/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/simulation__arcagi1/unknown,val/test_score/logic__ordering_puzzle_dataset/unknown,val/generations,val/test_score/math__amc_repeated_4x/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,run_id,run_created_at,run_name
0,0.725609756097561,0.06493506493506493,0.08,0.05,0.66,0.305,0.57,0.2866161616161616,0.49,0.041123918639495965,0.25,0.025,0.28,"{'size': 88285, 'ncols': 91, 'nrows': 1, 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', 'artifact_path': 'wandb-client-artifact://j3npwrwcdg0e7vnzqhjpbersi2d7t6qvg75sj0c3w8d74syvfreu5vri23k1i3fyi0rjhbc1x333k61vr1gicq83j9u7aeebpwaed2b3g99ex54iq75zgmy8xufj8zff/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://qzyvbpgs7cma8vwu2mmacnbgxixddfskefhm4d4oufdhs9gm820gtvoz09lo3d57bzvckxf8bp1y96uz3e3t0rwtxp3kcy9ykiwkyhjdsgiy18e3tdoboa2c924sugn6:latest/val/generations.table.json', '_type': 'table-file', 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32'}",0.30120481927710846,0.10752688172043011,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.7621951219512195,0.012987012987012988,0.06,0.04583333333333333,0.625,0.355,0.578,0.30934343434343436,0.445,0.023759921099990606,0.24,0.015,0.26,"{'path': 'media/table/val/generations_4_e326951ad556d879664a.table.json', '_latest_artifact_path': 'wandb-client-artifact://xdrm9nv556zt24d4z47au4y4j2axtyvbipj2ume6nuny60ag66ab11hwd3gltorrfpn4slooqooyclnuseu9n5u4sby8p50j0d5zzwv5jm1czxhj4ah9om0zs0kar0t4:latest/val/generations.table.json', 'size': 194523, '_type': 'table-file', 'ncols': 91, 'nrows': 2, 'sha256': 'e326951ad556d879664a5fa17e3bae9e87d5d94a04598c6bd0b28c60ba3ec045', 'artifact_path': 'wandb-client-artifact://ez1gnftzbju13rvses7d3ldqmubslc0izjs2b95k9r599hluw0rjulwbpjothyh09aoln5s2vp7x5fgn75ywag5r5d4zgj01tl6u4vf62j86qh9dq700710qtjhgobnq/val/generations.table.json'}",0.3072289156626506,0.08243727598566308,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.75,0.09090909090909091,0.08,0.07916666666666666,0.685,0.38,0.65,0.32196969696969696,0.56,0.017089225705713033,0.22,0.03,0.27,"{'_latest_artifact_path': 'wandb-client-artifact://jkw1wlp8q8f44m4egs7nn4v60qakue35kyawd0symln0pdp6jkzhrlbuptygi136w3fyfjvnw6zksxz1n2vft8dbt6xui8cxtbegrk3b4n787a2krc6figyjti7mm113:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 3, 'path': 'media/table/val/generations_9_68958203eadc800cd3f7.table.json', 'artifact_path': 'wandb-client-artifact://l2192gp5oqzzjkhkg8sq6782a3h035vr0p16dcw88yg3kayeyifaxcj0m43lqmbx1uc7h90dzx846rqovd83iax2cile2upf3qnxh3hs3zxdu8g6j09gykpzfn1prqwe/val/generations.table.json', 'size': 307259, 'sha256': '68958203eadc800cd3f707858e0bf52abc71b9736da3ffe0dff9475e274d097d'}",0.3704819277108434,0.07885304659498207,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.7560975609756098,0.11688311688311688,0.075,0.07916666666666666,0.695,0.375,0.656,0.30934343434343436,0.61,0.031162037625908853,0.24,0.005,0.27,"{'nrows': 4, 'sha256': '2ce4147c3a54c1d8e776c04fd68d7566c75ac45e0a5377963b8326e99b34d454', 'artifact_path': 'wandb-client-artifact://v11ptwf37bqpv8uqvsuy9o8zlf838n22uzm3lllnczkxaxvw10vky3mun8r1yqcq0jp5x123g5r9o1rmhyf3sscmvus7zgn763jpg9blmvrowuhntaenor0ui49e7hkw/val/generations.table.json', '_type': 'table-file', 'path': 'media/table/val/generations_14_2ce4147c3a54c1d8e776.table.json', '_latest_artifact_path': 'wandb-client-artifact://f0kneixbjzamqk7o3fzp7wksf66vvulnaasr05uhv3asyctrtv7s6ol648kawarb5ackytrcn9icxv2cxcnqp3slun0hzhmgoi1q9yx38d5s83qpuwfwk7y5evfvjhdq:latest/val/generations.table.json', 'size': 431734, 'ncols': 91}",0.3825301204819277,0.1039426523297491,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.774390243902439,0.11688311688311688,0.06,0.09583333333333334,0.67,0.425,0.674,0.3446969696969697,0.68,0.020978535683825614,0.28,0.005,0.33,"{'_latest_artifact_path': 'wandb-client-artifact://52gktiz2wn79hjr0cifeab4obhbu6zcd51eqdl9bbcgbz0aq4mdk7d70m9wzelkmjhdf391udcxjdl4vbjvlq3b6buhlo6ahkisw9ctdpnvowh8k4l4ucemxcpgr6a9s:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://tpk2rqj0a6g72i59m6qnkk5mnyjyvo6hrt9jnvjxpohe2wh5btyb27n3cxnthoviiujk1yu9uxo9qqbsxhj5x3wjya7trj321e10ztdipl0zoffwbdwqldu70e51uv3y/val/generations.table.json', 'size': 548127, 'ncols': 91, 'nrows': 5, 'path': 'media/table/val/generations_19_f5ecd740378a435cf021.table.json', 'sha256': 'f5ecd740378a435cf021c863f1eef87b0cd199febc2951f21559e8c978feaee2'}",0.3674698795180723,0.0931899641577061,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.7073170731707317,0.15584415584415584,0.07,0.08333333333333333,0.675,0.42,0.684,0.32954545454545453,0.71,0.01937728490680456,0.265,0.015,0.3,"{'size': 638215, 'ncols': 91, 'nrows': 6, 'path': 'media/table/val/generations_24_71246ec53dcb0e6521be.table.json', '_latest_artifact_path': 'wandb-client-artifact://5sr1pjyt1urfxppdtjw60tuq0bacro7paj3oaexfydba14fjein0si2i3r2uri30syjikhi3hypjt8ppn9nj85ekvkxo55vlllm4uhmx7543lmflcdkd27cnjdhitqnw:latest/val/generations.table.json', '_type': 'table-file', 'sha256': '71246ec53dcb0e6521beec9be0296ddcbe285fe28643d22038d2f6bad6f5623f', 'artifact_path': 'wandb-client-artifact://d4v0w9vez6hmk6nyu7saxiber88a63zrmf8sdwupobnf4ggo90wjn10q3el8uoq21an4zhjeln4639m0zfe1seugx2nm12rp8q98ogop83hzl3de0f58b24n2uyhfl4y/val/generations.table.json'}",0.3855421686746988,0.08602150537634409,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.7439024390243902,0.11688311688311688,0.09,0.0875,0.695,0.475,0.72,0.3472222222222222,0.715,0.01153697706758976,0.25,0.01,0.27,"{'sha256': '1bea3c0376436e8470077dbe8896b9cefcc2598ba2dd23f429bf9453f0685391', 'artifact_path': 'wandb-client-artifact://o57mg7lagj5o01jjz31zd1nnr4zqemib13saa01tx0xu97kmubbax7fl9unh27ih7o7zctqjv0tbe1rpl8xx7gcehrfxmawg2f33d6xnuplnxj0qa8p358n22l8p1p11/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://p4ozyf675xgm2s1a24cwfh7jjnzns47bs2lwkz5e7ij09q9minosf929540h4ulubyi481d9klxoxrmfuhmc152n3wet3i2kz982it3nwv1fr1ccwgixqp6baltjtjz4:latest/val/generations.table.json', 'size': 724123, 'nrows': 7, 'path': 'media/table/val/generations_29_1bea3c0376436e847007.table.json', '_type': 'table-file', 'ncols': 91}",0.42771084337349397,0.11827956989247312,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.6951219512195121,0.12987012987012986,0.08,0.09166666666666666,0.685,0.475,0.704,0.35984848484848486,0.735,0.01501951102167368,0.29,0.01,0.3,"{'_latest_artifact_path': 'wandb-client-artifact://v4r55ng5ve8mjoseawvxg4ewqt2k3u52zth3oztm6l7s5qgg1t1opl8eswvxzt1upe47k1ridk1wrus0r5a49ku5ppnqitoqmnrib2rvenxnt1hvzwe0jbf0tthvxpnx:latest/val/generations.table.json', 'size': 816777, '_type': 'table-file', 'ncols': 91, 'path': 'media/table/val/generations_34_eb0504efdd20cc33571a.table.json', 'artifact_path': 'wandb-client-artifact://s2vk8gjmevxb4rh9u93w7crku0dn3m95epmdugdfcx54nqslta3h3qv5y97o2pm3tp3dekiiv46dla4cifkcd28j4pn3yvlo3v5jtoz33ri9rvpvouro3b07n0oj7m2p/val/generations.table.json', 'nrows': 8, 'sha256': 'eb0504efdd20cc33571a39fbc9874760cc8753765e4c6d3f71599c593a17a1a9'}",0.3825301204819277,0.1003584229390681,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.7073170731707317,0.16883116883116883,0.065,0.11666666666666667,0.695,0.46,0.722,0.33964646464646464,0.73,0.013895202167332173,0.265,0.01,0.32,"{'path': 'media/table/val/generations_39_abadadb56d3e670cf6c3.table.json', 'sha256': 'abadadb56d3e670cf6c3f38eca737acc7ea979c167828852f49fa3611d707d29', 'artifact_path': 'wandb-client-artifact://n3ugowl539uswhz1w4sgorbacnms2gp5272g4fxzbmvp8ppbr6zxg5sjsrqz2cjavjxun10ck5j15iaop8zgr3yvegsgsapfv6nq7gsdtedwpdk3zjli5fvhac5e7joe/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://sagu1j1wxe94juwsvidxlj99g2oog9blp6n81e9635c0s8f7tutxxh1zlz06k77ghcwk35p8bmlg8u1qlfpt0pvd07a9k8n7yujwivhq0k7qd1z0byf0d24n5g8gb6g1:latest/val/generations.table.json', 'size': 936651, '_type': 'table-file', 'nrows': 9, 'ncols': 91}",0.3825301204819277,0.13261648745519714,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.7195121951219512,0.09090909090909091,0.1,0.10416666666666667,0.695,0.465,0.69,0.3383838383838384,0.76,0.01317261926829815,0.28,0.01,0.35,"{'_latest_artifact_path': 'wandb-client-artifact://j3a6vxqffeen6luppakkex7wvqv7vbrmuo9oh7fk33ezz971yqs5r7fwq912yz1p88svnab623y7do8d0a5f6ztkoaocowcg7ksvjq61rxsc0egsq543od811qwt10i3:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://r61oztpnnhte7tadeqmfg60yd87yf707e6bes7jxrhl08w9l375hr4xpn41xiqtxllt46dwg7ccm6ukdjj2wahjjwubflurg465iiicu8km0sdc8pkgpkiac5b6loooq/val/generations.table.json', 'size': 1032507.0, 'nrows': 10, 'path': 'media/table/val/generations_44_cc8e63f0d4bf3ae4e1c4.table.json', 'sha256': 'cc8e63f0d4bf3ae4e1c4ec6b466143afc1a48c970a303df7c5a41161b26129a8'}",0.4246987951807229,0.1111111111111111,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
50,0.7317073170731707,0.14285714285714285,0.105,0.07916666666666666,0.725,0.46,0.712,0.3573232323232323,0.765,0.014178571738302708,0.27,0.01,0.31,"{'path': 'media/table/val/generations_49_a62eb5acdb8d1167f2f5.table.json', 'artifact_path': 'wandb-client-artifact://7loujnch6a4i56vtnv9tbnk3naocx3zos92ltds2yc5d7kvsucv1gfcdotpzfrz2ebt7e1vsszi0p28lgadogb880e7mpp5dhra1vaqsnd31k8ikzexhcy6rj4ae6fvh/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://rx0vw1k4qhdjmj9xqdly76ox5rjmeff3zotli0jo549blrvy1victou2xlywrtfnhxdlzuoc483mn8k7ypwh7ehw1l0minr46tbajm9wr6sgbp9ql51p6rj8xdlsmr9f:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 11, 'sha256': 'a62eb5acdb8d1167f2f5497bd3c218926470ea8d72f1d6ca532be77d42e3c009', 'size': 1145286.0}",0.39759036144578314,0.12903225806451613,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
55,0.7317073170731707,0.12987012987012986,0.08,0.10416666666666667,0.685,0.44,0.692,0.3686868686868687,0.785,0.018444444797933102,0.31,0.02,0.31,"{'path': 'media/table/val/generations_54_05906b152f289a1e3181.table.json', 'artifact_path': 'wandb-client-artifact://75b478gc0n3040cp2xbtt7ewt5gyf4rmbd5ouegjsfzjrdz71anv5winr8qjfd3rnbzgg5k6m0kird8vg806reerdizdlmkvpps74nrepr25gsyswhkn4hzgifhdkj67/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'sha256': '05906b152f289a1e318138d24c61f8b622870396c84f8701431f67fdf5822898', '_latest_artifact_path': 'wandb-client-artifact://6tp2s741y5unrvr99z5o7rawvufdsshc99rk22ex0yymvg695tngqz60hofloym5pm687l8xgtlikpgeya2qrq1y82w9tq8zl7k4v530ghjjrvguwh24mm6jzm4i3srs:latest/val/generations.table.json', 'size': 1234397.0, 'nrows': 12}",0.4006024096385542,0.1111111111111111,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
60,0.7682926829268293,0.09090909090909091,0.09,0.10416666666666667,0.67,0.47,0.702,0.36237373737373735,0.765,0.007413359880447387,0.275,0.015,0.36,"{'ncols': 91, 'nrows': 13, 'path': 'media/table/val/generations_59_2ec3b70932b672ca7cd3.table.json', 'sha256': '2ec3b70932b672ca7cd3a2cce7a634064a7d3d1d495f28c52d553e1c812a5a67', 'artifact_path': 'wandb-client-artifact://ydkd38miu8z4c71nspvxwnlftdvuhwyjunrtymhsc7etmbrjcfd7knb39zoukykmqw21ls6v5szwz9sgicitm3xtu772pcdb4uou6mgy4o65u4sjpyicm38j4ye8u4k1/val/generations.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://ruxh6qst2cyo49vozm1j00rd5xnjcbtmxhppjjdhj8vghxbxc5sh7n9jtarld5zo4okcixw8ldedd943p22h8trg98fy9v82lr5oo4i3cifx3hpldkg761xe9lp1wd67:latest/val/generations.table.json', 'size': 1324996.0}",0.37650602409638556,0.0931899641577061,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
